seed,vectorizer,model,params,accuracy,training_time,prediction_time,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
5522499,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.664,7.926426699967124,0.3554487000219524,0.7309941520467836,0.6544502617801047,0.6906077348066298,0.5934291581108829,0.6768149882903981,0.6323851203501094
5522499,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.715,13.55041549995076,0.6555015000049025,0.7345276872964169,0.787085514834206,0.7598989048020219,0.6839378238341969,0.6182669789227166,0.6494464944649446
5522499,TfidfVectorizer,MultinomialNB,{'alpha': 0.01},0.674,0.09462089999578893,0.01262490008957684,0.7407407407407407,0.6631762652705061,0.6998158379373849,0.6036960985626283,0.6885245901639344,0.6433260393873085
5522499,TfidfVectorizer,MultinomialNB,{'alpha': 1.0},0.72,0.09326709993183613,0.012772099929861724,0.7209653092006033,0.8342059336823735,0.7734627831715211,0.7181008902077152,0.5667447306791569,0.6335078534031413
5522499,TfidfVectorizer,LogisticRegression,{'C': 1},0.723,0.12935830000787973,0.012878699926659465,0.7262996941896025,0.8289703315881326,0.7742461287693562,0.7167630057803468,0.5807962529274004,0.6416558861578266
5522499,TfidfVectorizer,LogisticRegression,{'C': 10},0.698,0.15096979995723814,0.01280829997267574,0.7332185886402753,0.743455497382199,0.7383015597920277,0.649164677804296,0.6370023419203747,0.6430260047281324
5522499,TfidfVectorizer,KNeighbors,{'n_neighbors': 3},0.592,0.08259230002295226,0.14556509989779443,0.5854922279792746,0.9860383944153578,0.7347204161248374,0.7714285714285715,0.06323185011709602,0.11688311688311688
5522499,TfidfVectorizer,KNeighbors,{'n_neighbors': 5},0.584,0.08182979992125183,0.1516319999936968,0.5801838610827375,0.9912739965095986,0.7319587628865979,0.7619047619047619,0.03747072599531616,0.07142857142857142
5522499,TfidfVectorizer,KNeighbors,{'n_neighbors': 7},0.578,0.08256280003115535,0.16873859998304397,0.5766497461928934,0.9912739965095986,0.7291399229781772,0.6666666666666666,0.0234192037470726,0.04524886877828054
5522499,TfidfVectorizer,DecisionTree,{'max_depth': None},0.669,1.363579099997878,0.01271370006725192,0.7079037800687286,0.7190226876090751,0.7134199134199134,0.6148325358851675,0.6018735362997658,0.6082840236686391
5522499,TfidfVectorizer,DecisionTree,{'max_depth': 10},0.666,0.22611590009182692,0.01287530001718551,0.6558018252933507,0.8778359511343804,0.7507462686567165,0.6995708154506438,0.38173302107728335,0.49393939393939396
5522499,TfidfVectorizer,DecisionTree,{'max_depth': 20},0.699,0.4005684000439942,0.01286599994637072,0.6942857142857143,0.8481675392670157,0.7635506677140613,0.71,0.49882903981264637,0.5859697386519945
5522499,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 3}",0.712,3.5298479999182746,0.013761800015345216,0.6877470355731226,0.9109947643979057,0.7837837837837838,0.7883817427385892,0.4449648711943794,0.5688622754491018
