seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.5115,273.3961845000158,6.973778799991123,1215.140625,943.4296875,0.0,0.0,0.0,0.4719416386083053,0.9677790563866513,0.6344775556393814,0.8348623853211009,0.2222222222222222,0.3510125361620058
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'sigmoid'}",0.583,185.3808091999963,5.42603119998239,1164.015625,944.38671875,0.7692307692307693,0.03205128205128205,0.06153846153846154,0.5192061459667093,0.9332566168009206,0.667215137803373,0.8117647058823529,0.42124542124542125,0.5546623794212219
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.6445,288.5808894999791,4.75059319997672,1246.09375,951.12109375,0.5520833333333334,0.33974358974358976,0.42063492063492064,0.5956006768189509,0.810126582278481,0.6864943929790346,0.7651757188498403,0.5848595848595849,0.6629757785467129
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.644,452.35667120001744,6.614837000030093,1212.2265625,952.65234375,0.6302521008403361,0.2403846153846154,0.3480278422273782,0.5796875,0.85385500575374,0.6905537459283387,0.78369384359401,0.575091575091575,0.6633802816901408
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'sigmoid'}",0.6445,336.49819859996205,4.732567499973811,1189.6171875,949.58984375,0.5524861878453039,0.32051282051282054,0.4056795131845842,0.5959595959595959,0.8147295742232451,0.6883811375789985,0.7622820919175911,0.5873015873015873,0.663448275862069
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.5995,1321.8100469000055,4.4878439999883994,1252.77734375,949.83984375,0.47719298245614034,0.4358974358974359,0.4556113902847571,0.5735009671179884,0.6823935558112774,0.6232264844981608,0.6901615271659325,0.5738705738705738,0.6266666666666667
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.6465,665.7081495000166,6.790804999996908,1185.44921875,959.21484375,0.5757575757575758,0.30448717948717946,0.39832285115303984,0.5950342465753424,0.7997698504027618,0.6823760432007855,0.7541229385307346,0.6141636141636142,0.676985195154778
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'sigmoid'}",0.594,1687.993301999988,3.9879633000236936,1259.1484375,947.0546875,0.4479166666666667,0.41346153846153844,0.43,0.5688509021842355,0.6892980437284235,0.6233090530697191,0.6980273141122914,0.5616605616605617,0.6224627875507442
2,TfidfVectorizer,MultinomialNB,{'alpha': 0.01},0.5605,0.8591836999985389,1.395042599993758,936.55078125,903.77734375,0.48936170212765956,0.2948717948717949,0.368,0.5335786568537259,0.667433831990794,0.5930470347648262,0.6193103448275862,0.5482295482295483,0.5816062176165803
2,TfidfVectorizer,MultinomialNB,{'alpha': 0.1},0.587,0.8270852999994531,1.8190874999854714,935.4609375,903.90625,0.5934959349593496,0.23397435897435898,0.335632183908046,0.549645390070922,0.713463751438435,0.6209313970956435,0.6421895861148198,0.5873015873015873,0.6135204081632653
2,TfidfVectorizer,MultinomialNB,{'alpha': 1.0},0.597,0.8148203000309877,1.8063540000002831,937.86328125,904.02734375,1.0,0.016025641025641024,0.031545741324921134,0.5454545454545454,0.8147295742232451,0.6534379326257499,0.6901004304160688,0.5873015873015873,0.6345646437994723
2,TfidfVectorizer,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.6215,1.5939930999884382,1.807243200019002,969.05859375,905.33984375,0.8518518518518519,0.07371794871794872,0.13569321533923304,0.5537010159651669,0.8780207134637514,0.6791277258566978,0.7680672268907563,0.557997557997558,0.6463932107496464
2,TfidfVectorizer,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.651,2.712567299953662,1.8219738000188954,970.30078125,905.515625,0.5957446808510638,0.2692307692307692,0.3708609271523179,0.5989804587935429,0.8112773302646721,0.6891495601173021,0.7521994134897361,0.6263736263736264,0.6835443037974683
2,TfidfVectorizer,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.6195,4.498706899990793,1.3654076000093482,969.67578125,905.61328125,0.5621890547263682,0.36217948717948717,0.4405458089668616,0.578268876611418,0.7226697353279632,0.6424552429667519,0.6984572230014026,0.608058608058608,0.6501305483028721
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'ball_tree'}",0.504,0.8293976999702863,1.8185971000348218,936.87890625,2101.359375,0.2979452054794521,0.27884615384615385,0.28807947019867547,0.5230296827021494,0.5880322209436134,0.5536294691224268,0.560875512995896,0.5006105006105006,0.5290322580645161
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'kd_tree'}",0.504,0.8224684000015259,1.7577406999771483,945.7109375,2260.4140625,0.2979452054794521,0.27884615384615385,0.28807947019867547,0.5230296827021494,0.5880322209436134,0.5536294691224268,0.560875512995896,0.5006105006105006,0.5290322580645161
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'brute'}",0.504,0.8117553999763913,1.701005199982319,943.734375,2123.3046875,0.2979452054794521,0.27884615384615385,0.28807947019867547,0.5230296827021494,0.5880322209436134,0.5536294691224268,0.560875512995896,0.5006105006105006,0.5290322580645161
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.537,0.8213622000184841,1.7578133000060916,946.04296875,2262.2890625,0.384180790960452,0.21794871794871795,0.278118609406953,0.5251544571932921,0.6846950517836594,0.5944055944055944,0.5956521739130435,0.5018315018315018,0.5447316103379721
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.537,0.8191065000137314,1.7676171000348404,948.26953125,2251.4375,0.384180790960452,0.21794871794871795,0.278118609406953,0.5251544571932921,0.6846950517836594,0.5944055944055944,0.5956521739130435,0.5018315018315018,0.5447316103379721
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'brute'}",0.537,0.8203587000025436,1.7224150000256486,944.66796875,2287.28515625,0.384180790960452,0.21794871794871795,0.278118609406953,0.5251544571932921,0.6846950517836594,0.5944055944055944,0.5956521739130435,0.5018315018315018,0.5447316103379721
2,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.543,0.8240734999999404,1.7383654000004753,942.9140625,2303.25,0.4076923076923077,0.16987179487179488,0.2398190045248869,0.5257192676547515,0.6939010356731876,0.5982142857142857,0.5947441217150761,0.525030525030525,0.5577172503242542
