seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,precision_class_3,recall_class_3,f1_class_3,precision_class_4,recall_class_4,f1_class_4
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.46701846965699206,3.514678899999126,1.033814499998698,401.73828125,397.1171875,0.3936651583710407,1.0,0.564935064935065,0.0,0.0,0.0,1.0,0.04225352112676056,0.08108108108108109,0.5612903225806452,1.0,0.71900826446281,0.0,0.0,0.0
2,TfidfVectorizer,SVC,"{'C': 0.1, 'kernel': 'sigmoid'}",0.8469656992084432,3.37639579999086,0.9195856000005733,401.140625,395.72265625,0.7073170731707317,1.0,0.8285714285714286,0.9787234042553191,0.696969696969697,0.8141592920353983,1.0,0.704225352112676,0.8264462809917356,0.8055555555555556,1.0,0.8923076923076924,1.0,0.75,0.8571428571428571
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.9736147757255936,2.659694699992542,0.8096935999928974,401.83984375,395.35546875,0.9545454545454546,0.9655172413793104,0.96,0.9705882352941176,1.0,0.9850746268656716,0.9710144927536232,0.9436619718309859,0.9571428571428572,0.9886363636363636,1.0,0.9942857142857143,0.9848484848484849,0.9558823529411765,0.9701492537313433
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.9656992084432717,3.4100824000051944,0.9688953000004403,397.5078125,395.93359375,0.945054945054945,0.9885057471264368,0.9662921348314607,0.9705882352941176,1.0,0.9850746268656716,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9456521739130435,1.0,0.9720670391061452,1.0,0.8823529411764706,0.9375
2,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'sigmoid'}",0.9709762532981531,2.180765400000382,0.783947599993553,398.59375,394.57421875,0.9438202247191011,0.9655172413793104,0.9545454545454546,0.9701492537313433,0.9848484848484849,0.9774436090225563,0.9710144927536232,0.9436619718309859,0.9571428571428572,0.9886363636363636,1.0,0.9942857142857143,0.9848484848484849,0.9558823529411765,0.9701492537313433
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.9736147757255936,2.7420137000008253,0.8126534000039101,399.41796875,395.734375,0.9545454545454546,0.9655172413793104,0.96,0.9705882352941176,1.0,0.9850746268656716,0.9710144927536232,0.9436619718309859,0.9571428571428572,0.9886363636363636,1.0,0.9942857142857143,0.9848484848484849,0.9558823529411765,0.9701492537313433
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.9656992084432717,3.4148221999930684,0.9681774999917252,398.69921875,396.5234375,0.945054945054945,0.9885057471264368,0.9662921348314607,0.9705882352941176,1.0,0.9850746268656716,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9456521739130435,1.0,0.9720670391061452,1.0,0.8823529411764706,0.9375
2,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'sigmoid'}",0.9709762532981531,2.2854406999977073,0.7782167000113986,400.7734375,395.1640625,0.9651162790697675,0.9540229885057471,0.9595375722543352,0.9701492537313433,0.9848484848484849,0.9774436090225563,0.9577464788732394,0.9577464788732394,0.9577464788732394,0.9775280898876404,1.0,0.9886363636363636,0.9848484848484849,0.9558823529411765,0.9701492537313433
2,TfidfVectorizer,MultinomialNB,{'alpha': 0.01},0.9656992084432717,1.2765886999986833,1.037100500005181,402.98046875,398.47265625,0.9879518072289156,0.9425287356321839,0.9647058823529412,0.9692307692307692,0.9545454545454546,0.9618320610687023,0.9333333333333333,0.9859154929577465,0.958904109589041,1.0,0.9885057471264368,0.9942196531791907,0.9285714285714286,0.9558823529411765,0.9420289855072463
2,TfidfVectorizer,MultinomialNB,{'alpha': 0.1},0.9709762532981531,1.2650747000006959,1.0439016000018455,402.5,396.34765625,0.9880952380952381,0.9540229885057471,0.9707602339181286,0.9692307692307692,0.9545454545454546,0.9618320610687023,0.958904109589041,0.9859154929577465,0.9722222222222222,0.9886363636363636,1.0,0.9942857142857143,0.9420289855072463,0.9558823529411765,0.948905109489051
