seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
5,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.715,13.616674500051886,1.0924062000121921,670.19921875,452.32421875,0.7345276872964169,0.787085514834206,0.7598989048020219,0.6839378238341969,0.6182669789227166,0.6494464944649446
5,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'sigmoid'}",0.635,6.0118684999179095,0.734908299986273,637.51171875,451.26171875,0.7203389830508474,0.5933682373472949,0.6507177033492823,0.5587121212121212,0.6908665105386417,0.6178010471204188
5,TfidfVectorizer,MultinomialNB,{'alpha': 0.01},0.674,1.056911600055173,1.8099515000358224,447.99609375,441.40625,0.7407407407407407,0.6631762652705061,0.6998158379373849,0.6036960985626283,0.6885245901639344,0.6433260393873085
5,TfidfVectorizer,MultinomialNB,{'alpha': 0.1},0.692,1.0670120001304895,1.8000761000439525,447.21484375,441.578125,0.7495291902071564,0.6945898778359512,0.7210144927536232,0.6268656716417911,0.6885245901639344,0.65625
5,TfidfVectorizer,MultinomialNB,{'alpha': 1.0},0.72,1.0721806997898966,1.8028484999667853,446.8203125,441.23046875,0.7209653092006033,0.8342059336823735,0.7734627831715211,0.7181008902077152,0.5667447306791569,0.6335078534031413
5,TfidfVectorizer,LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",0.69,1.0916480000596493,1.8061681999824941,450.95703125,440.89453125,0.6679438058748404,0.912739965095986,0.7713864306784661,0.7695852534562212,0.3911007025761124,0.5186335403726708
5,TfidfVectorizer,LogisticRegression,"{'C': 1, 'penalty': 'l2'}",0.723,1.155562900006771,1.7930625001899898,450.59765625,440.8984375,0.7262996941896025,0.8289703315881326,0.7742461287693562,0.7167630057803468,0.5807962529274004,0.6416558861578266
5,TfidfVectorizer,LogisticRegression,"{'C': 10, 'penalty': 'l2'}",0.698,1.189562600106001,1.808960699941963,450.65625,440.765625,0.7332185886402753,0.743455497382199,0.7383015597920277,0.649164677804296,0.6370023419203747,0.6430260047281324
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'ball_tree'}",0.591,1.0645530000329018,1.2040023000445217,446.671875,579.1796875,0.5852390852390852,0.9825479930191972,0.7335504885993486,0.7368421052631579,0.06557377049180328,0.12043010752688173
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'kd_tree'}",0.591,1.0764130998868495,1.1990431000012904,446.34375,577.47265625,0.5852390852390852,0.9825479930191972,0.7335504885993486,0.7368421052631579,0.06557377049180328,0.12043010752688173
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 3, 'algorithm': 'brute'}",0.591,1.0669058999046683,1.2270330002065748,446.6875,559.796875,0.5852390852390852,0.9825479930191972,0.7335504885993486,0.7368421052631579,0.06557377049180328,0.12043010752688173
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.584,1.064638099865988,1.1885945999529213,446.515625,579.21484375,0.5801838610827375,0.9912739965095986,0.7319587628865979,0.7619047619047619,0.03747072599531616,0.07142857142857142
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.584,1.0683849998749793,1.197870299918577,446.74609375,576.02734375,0.5801838610827375,0.9912739965095986,0.7319587628865979,0.7619047619047619,0.03747072599531616,0.07142857142857142
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 5, 'algorithm': 'brute'}",0.584,1.0648777999449521,1.191885800100863,446.46875,555.78125,0.5801838610827375,0.9912739965095986,0.7319587628865979,0.7619047619047619,0.03747072599531616,0.07142857142857142
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.578,1.0770972999744117,1.1917499001137912,446.49609375,563.9765625,0.5766497461928934,0.9912739965095986,0.7291399229781772,0.6666666666666666,0.0234192037470726,0.04524886877828054
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'kd_tree'}",0.578,1.0711266999132931,1.1892180000431836,446.671875,573.84375,0.5766497461928934,0.9912739965095986,0.7291399229781772,0.6666666666666666,0.0234192037470726,0.04524886877828054
5,TfidfVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'brute'}",0.578,1.0725229000672698,1.1887447000481188,446.62109375,557.76171875,0.5766497461928934,0.9912739965095986,0.7291399229781772,0.6666666666666666,0.0234192037470726,0.04524886877828054
