seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,precision_class_3,recall_class_3,f1_class_3,precision_class_4,recall_class_4,f1_class_4,precision_class_5,recall_class_5,f1_class_5
2,TfidfVectorizer,SGD,"{'alpha': 0.0001, 'penalty': 'l1'}",0.9105,1.2201202000001103,1.3815094000001409,555.48828125,547.421875,0.9271758436944938,0.9490909090909091,0.9380053908355795,0.9073825503355705,0.9602272727272727,0.9330572808833678,0.9050632911392406,0.8033707865168539,0.8511904761904762,0.9157509157509157,0.9090909090909091,0.9124087591240876,0.8860103626943006,0.8066037735849056,0.8444444444444444,0.8676470588235294,0.7283950617283951,0.7919463087248322
2,TfidfVectorizer,SGD,"{'alpha': 0.0001, 'penalty': 'elasticnet'}",0.905,0.6717593999997007,1.8272578000000976,555.2265625,547.4296875,0.9221238938053097,0.9472727272727273,0.9345291479820628,0.8973333333333333,0.9559659090909091,0.9257221458046767,0.9013157894736842,0.7696629213483146,0.8303030303030303,0.9222222222222223,0.9054545454545454,0.9137614678899083,0.8808290155440415,0.8018867924528302,0.8395061728395061,0.8571428571428571,0.7407407407407407,0.7947019867549668
2,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'l2'}",0.8815,1.1873952000000827,1.8278387999998813,555.4296875,547.37109375,0.8714524207011686,0.9490909090909091,0.9086161879895561,0.8576779026217228,0.9758522727272727,0.9129568106312292,0.9612403100775194,0.6966292134831461,0.8078175895765473,0.9256198347107438,0.8145454545454546,0.8665377176015474,0.9107142857142857,0.7216981132075472,0.8052631578947368,0.8688524590163934,0.654320987654321,0.7464788732394366
2,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'l1'}",0.6915,1.2584843999998157,1.3889921999998478,555.47265625,547.40625,0.4930232558139535,0.9636363636363636,0.6523076923076923,0.9163346613545816,0.6534090909090909,0.7628524046434494,0.9512195121951219,0.43820224719101125,0.6,0.9418604651162791,0.5890909090909091,0.7248322147651006,0.9069767441860465,0.5518867924528302,0.6862170087976539,0.9,0.4444444444444444,0.5950413223140496
2,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'elasticnet'}",0.8825,1.2236806000000797,1.8271475999999893,555.22265625,547.28125,0.8879456706281834,0.9509090909090909,0.9183494293239683,0.8460591133004927,0.9758522727272727,0.9063324538258575,0.968,0.6797752808988764,0.7986798679867987,0.9391304347826087,0.7854545454545454,0.8554455445544554,0.9005524861878453,0.7688679245283019,0.8295165394402035,0.873015873015873,0.6790123456790124,0.7638888888888888
2,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'l2'}",0.88,1.170792099999744,1.8091392999999698,555.44140625,547.36328125,0.8685524126455907,0.9490909090909091,0.9070373588184187,0.8544776119402985,0.9758522727272727,0.9111405835543767,0.9609375,0.6910112359550562,0.803921568627451,0.9256198347107438,0.8145454545454546,0.8665377176015474,0.9096385542168675,0.7122641509433962,0.798941798941799,0.8983050847457628,0.654320987654321,0.7571428571428571
2,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'l1'}",0.1375,1.1917810999998437,1.8338966999999684,555.47265625,547.515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,1.0,0.24175824175824176,0.0,0.0,0.0,0.0,0.0,0.0
2,TfidfVectorizer,SGD,"{'alpha': 0.01, 'penalty': 'elasticnet'}",0.169,1.1934913000000051,1.8352092999998604,555.2265625,547.375,0.75,0.05454545454545454,0.1016949152542373,0.7948717948717948,0.04403409090909091,0.08344549125168237,0.0,0.0,0.0,0.14106583072100312,0.9818181818181818,0.24668798538145273,1.0,0.0330188679245283,0.0639269406392694,0.0,0.0,0.0
2,CountVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'gini'}",0.893,8.524862700000085,1.03796229999989,547.375,438.8125,0.9259259259259259,0.9090909090909091,0.9174311926605505,0.9180790960451978,0.9232954545454546,0.9206798866855525,0.8362573099415205,0.8033707865168539,0.8194842406876791,0.8655172413793103,0.9127272727272727,0.8884955752212389,0.8287037037037037,0.8443396226415094,0.8364485981308412,0.84,0.7777777777777778,0.8076923076923077
2,CountVectorizer,RandomForest,"{'n_estimators': 50, 'criterion': 'entropy'}",0.8845,9.452343500000097,1.037635500000306,441.86328125,441.8828125,0.9199255121042831,0.8981818181818182,0.9089236430542779,0.9198855507868383,0.9133522727272727,0.9166072701354241,0.8146067415730337,0.8146067415730337,0.8146067415730337,0.8641114982578397,0.9018181818181819,0.8825622775800712,0.8177570093457944,0.8254716981132075,0.8215962441314554,0.7529411764705882,0.7901234567901234,0.7710843373493976
