seed,vectorizer,model,params,accuracy,hamming_loss,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_bug,recall_class_bug,f1_class_bug,precision_class_docs,recall_class_docs,f1_class_docs,precision_class_feature,recall_class_feature,f1_class_feature,precision_class_question,recall_class_question,f1_class_question,precision_class_won't fix,recall_class_won't fix,f1_class_won't fix
3,CountVectorizer,AdaBoost,"{'estimator__n_estimators': 50, 'estimator__learning_rate': 1.0}",0.37967914438502676,0.20320855614973263,0.7634006000007503,1.4770442000008188,375.57421875,375.4765625,0.3333333333333333,0.22580645161290322,0.2692307692307692,0.5833333333333334,0.25925925925925924,0.358974358974359,0.14285714285714285,0.1,0.11764705882352941,0.6993464052287581,0.8842975206611571,0.781021897810219,0.21052631578947367,0.0975609756097561,0.13333333333333333
3,CountVectorizer,AdaBoost,"{'estimator__n_estimators': 100, 'estimator__learning_rate': 0.01}",0.44385026737967914,0.18074866310160428,1.0813899000058882,1.0864903000183403,375.5234375,375.5234375,0.0,0.0,0.0,1.0,0.037037037037037035,0.07142857142857142,0.0,0.0,0.0,0.6741573033707865,0.9917355371900827,0.802675585284281,0.25,0.024390243902439025,0.044444444444444446
3,CountVectorizer,AdaBoost,"{'estimator__n_estimators': 100, 'estimator__learning_rate': 0.1}",0.42245989304812837,0.1893048128342246,1.1637134000193328,1.27495849999832,375.5703125,375.5703125,0.1875,0.0967741935483871,0.1276595744680851,0.7,0.25925925925925924,0.3783783783783784,0.0,0.0,0.0,0.7051282051282052,0.9090909090909091,0.7942238267148014,0.3333333333333333,0.0975609756097561,0.1509433962264151
3,CountVectorizer,AdaBoost,"{'estimator__n_estimators': 100, 'estimator__learning_rate': 1.0}",0.3582887700534759,0.21390374331550802,1.1621901000034995,1.0960997000220232,375.5703125,375.5703125,0.23529411764705882,0.12903225806451613,0.16666666666666666,0.5,0.25925925925925924,0.34146341463414637,0.125,0.1,0.1111111111111111,0.717391304347826,0.8181818181818182,0.7644787644787645,0.2,0.12195121951219512,0.15151515151515152
3,CountVectorizer,AdaBoost,"{'estimator__n_estimators': 150, 'estimator__learning_rate': 0.01}",0.45989304812834225,0.1754010695187166,1.399134100007359,1.1450885999947786,375.76953125,375.71875,0.0,0.0,0.0,1.0,0.18518518518518517,0.3125,0.0,0.0,0.0,0.6741573033707865,0.9917355371900827,0.802675585284281,0.4,0.04878048780487805,0.08695652173913043
3,CountVectorizer,AdaBoost,"{'estimator__n_estimators': 150, 'estimator__learning_rate': 0.1}",0.40106951871657753,0.18823529411764706,1.3603131999843754,1.0863696000305936,375.97265625,375.91015625,0.15384615384615385,0.06451612903225806,0.09090909090909091,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.0,0.0,0.0,0.7171052631578947,0.9008264462809917,0.7985347985347986,0.2727272727272727,0.07317073170731707,0.11538461538461539
3,CountVectorizer,AdaBoost,"{'estimator__n_estimators': 150, 'estimator__learning_rate': 1.0}",0.33689839572192515,0.21283422459893048,1.3723750000353903,1.0919907999923453,376.140625,376.140625,0.21052631578947367,0.12903225806451613,0.16,0.5384615384615384,0.25925925925925924,0.35,0.2,0.1,0.13333333333333333,0.7101449275362319,0.8099173553719008,0.7567567567567568,0.18181818181818182,0.0975609756097561,0.12698412698412698
3,CountVectorizer,SGD,"{'estimator__alpha': 0.0001, 'estimator__penalty': 'l2'}",0.33689839572192515,0.23529411764705882,1.8137759999954142,1.7990137999877334,376.15234375,376.12890625,0.2222222222222222,0.1935483870967742,0.20689655172413793,0.4642857142857143,0.48148148148148145,0.4727272727272727,0.05555555555555555,0.1,0.07142857142857142,0.7333333333333333,0.8181818181818182,0.7734375,0.2619047619047619,0.2682926829268293,0.26506024096385544
3,CountVectorizer,SGD,"{'estimator__alpha': 0.0001, 'estimator__penalty': 'l1'}",0.3048128342245989,0.23101604278074866,1.8348067000042647,1.8728822999983095,376.13671875,376.06640625,0.34615384615384615,0.2903225806451613,0.3157894736842105,0.42857142857142855,0.3333333333333333,0.375,0.0,0.0,0.0,0.7318840579710145,0.8347107438016529,0.7799227799227799,0.17391304347826086,0.1951219512195122,0.1839080459770115
3,CountVectorizer,SGD,"{'estimator__alpha': 0.0001, 'estimator__penalty': 'elasticnet'}",0.3048128342245989,0.2267379679144385,1.8586865999968722,1.7934580000001006,376.08984375,376.08984375,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.5,0.4074074074074074,0.4489795918367347,0.1111111111111111,0.1,0.10526315789473684,0.7213114754098361,0.7272727272727273,0.7242798353909465,0.25,0.1951219512195122,0.2191780821917808
