mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_classifier;param_classifier__max_depth;param_classifier__n_estimators;param_vectorizer;param_classifier__C;param_classifier__kernel;param_classifier__alpha;param_classifier__n_neighbors;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
6.4092268466949465;0.42459531034093567;0.6468143939971924;0.018272191872487662;LogisticRegression(max_iter=1000);;;CountVectorizer();10.0;;;;{'classifier': LogisticRegression(max_iter=1000), 'classifier__C': 10, 'vectorizer': CountVectorizer()};0.871625;0.876875;0.87375;0.87525;0.873;0.8741;0.0018155577655365187;12
3.1845940589904784;0.0907565176942496;13.660960054397583;0.0725051256082813;KNeighborsClassifier();;;TfidfVectorizer();;;;3.0;{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 3, 'vectorizer': TfidfVectorizer()};0.760875;0.754125;0.76125;0.7615;0.76675;0.7609;0.004015127644297248;65
3.251786136627197;0.04251495392148509;13.897401762008666;0.061184076889776874;KNeighborsClassifier();;;CountVectorizer();;;;3.0;{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 3, 'vectorizer': CountVectorizer()};0.600625;0.61575;0.60475;0.611125;0.5985;0.60615;0.006448546347821353;74
3.2515101432800293;0.05686544881669332;13.688686323165893;0.054652563897848894;KNeighborsClassifier();;;TfidfVectorizer();;;;5.0;{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 5, 'vectorizer': TfidfVectorizer()};0.769625;0.766875;0.76775;0.7695;0.773375;0.769425;0.0022341105612749008;64
3.2032845497131346;0.03276622426593429;13.857906103134155;0.10648395793876635;KNeighborsClassifier();;;CountVectorizer();;;;5.0;{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 5, 'vectorizer': CountVectorizer()};0.60525;0.61925;0.623625;0.62675;0.60525;0.6160249999999999;0.0091146859518033;73
3.311174488067627;0.053949379957115254;13.611238861083985;0.08271842832370944;KNeighborsClassifier();;;TfidfVectorizer();;;;7.0;{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 7, 'vectorizer': TfidfVectorizer()};0.7725;0.76725;0.771125;0.774125;0.779;0.7727999999999999;0.0038443139830144084;63
3.2440542221069335;0.06961721362799894;13.700839424133301;0.08791237998928988;KNeighborsClassifier();;;CountVectorizer();;;;7.0;{'classifier': KNeighborsClassifier(), 'classifier__n_neighbors': 7, 'vectorizer': CountVectorizer()};0.6075;0.627125;0.634125;0.6315;0.6215;0.6243500000000001;0.009449007884428914;72
57.96267170906067;1.5561112339357108;0.6221603393554688;0.014777585603445397;DecisionTreeClassifier();;;TfidfVectorizer();;;;;{'classifier': DecisionTreeClassifier(), 'classifier__max_depth': None, 'vectorizer': TfidfVectorizer()};0.71525;0.717125;0.7105;0.712625;0.70925;0.71295;0.002916118996200255;71
54.184077167510985;1.083847288632786;0.6084626197814942;0.028351308039427765;DecisionTreeClassifier();;;CountVectorizer();;;;;{'classifier': DecisionTreeClassifier(), 'classifier__max_depth': None, 'vectorizer': CountVectorizer()};0.724875;0.72775;0.728;0.729875;0.73225;0.72855;0.002445148257263738;68
9.910653066635131;0.13204876380228334;0.6510199546813965;0.03504885391236805;DecisionTreeClassifier();10;;TfidfVectorizer();;;;;{'classifier': DecisionTreeClassifier(), 'classifier__max_depth': 10, 'vectorizer': TfidfVectorizer()};0.7205;0.720125;0.72325;0.727125;0.729875;0.724175;0.0037935801032797627;69
7.877273273468018;0.15636731896569298;0.6118131637573242;0.017842606915573357;DecisionTreeClassifier();10;;CountVectorizer();;;;;{'classifier': DecisionTreeClassifier(), 'classifier__max_depth': 10, 'vectorizer': CountVectorizer()};0.718375;0.716875;0.732875;0.7315;0.70875;0.721675;0.009197350161867297;70
