seed,vectorizer,model,params,accuracy,hamming_loss,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_cs.AI,recall_class_cs.AI,f1_class_cs.AI,precision_class_cs.CL,recall_class_cs.CL,f1_class_cs.CL,precision_class_cs.LG,recall_class_cs.LG,f1_class_cs.LG,precision_class_math.OC,recall_class_math.OC,f1_class_math.OC,precision_class_stat.ML,recall_class_stat.ML,f1_class_stat.ML
3,CountVectorizer,KNeighbors,"{'n_neighbors': 7, 'algorithm': 'brute'}",0.28199052132701424,0.230173775671406,1.026030000000901,0.7442452000032063,928.06640625,1027.24609375,0.4330357142857143,0.28869047619047616,0.3464285714285714,0.8810408921933085,0.5880893300248139,0.7053571428571429,0.6782178217821783,0.8392036753445635,0.7501711156741958,0.855072463768116,0.2744186046511628,0.4154929577464789,0.43130990415335463,0.4231974921630094,0.4272151898734177
3,CountVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'sqrt'}",0.292259083728278,0.25387045813586095,0.7796148999987054,1.7882631000029505,936.6328125,924.37109375,0.32360742705570295,0.3630952380952381,0.34221598877980364,0.7651933701657458,0.6873449131513648,0.7241830065359477,0.6784702549575071,0.7335375191424196,0.7049300956585725,0.6030150753768844,0.5581395348837209,0.5797101449275363,0.45325779036827196,0.5015673981191222,0.47619047619047616
3,CountVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': 'log2'}",0.2646129541864139,0.28088467614533963,0.8382913000023109,1.790497800000594,934.5859375,924.5234375,0.32954545454545453,0.34523809523809523,0.3372093023255814,0.7067039106145251,0.6277915632754343,0.6649145860709592,0.6278447121820616,0.7182235834609495,0.67,0.5141242937853108,0.4232558139534884,0.4642857142857143,0.3888888888888889,0.4169278996865204,0.40242057488653554
3,CountVectorizer,DecisionTree,"{'criterion': 'gini', 'max_features': None}",0.3957345971563981,0.21137440758293838,1.8326162000012118,1.7770722999994177,930.8359375,923.4609375,0.46530612244897956,0.3392857142857143,0.3924268502581756,0.7834549878345499,0.7990074441687345,0.7911547911547911,0.7604501607717041,0.7243491577335375,0.7419607843137255,0.6492890995260664,0.6372093023255814,0.6431924882629108,0.4788732394366197,0.5329153605015674,0.5044510385756676
3,CountVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'sqrt'}",0.3175355450236967,0.25213270142180094,0.7729370999950333,1.7963961999994353,934.98046875,924.48046875,0.3873015873015873,0.3630952380952381,0.37480798771121354,0.708029197080292,0.7220843672456576,0.714987714987715,0.7,0.7289433384379785,0.714178544636159,0.603448275862069,0.4883720930232558,0.5398457583547558,0.38323353293413176,0.4012539184952978,0.39203675344563554
3,CountVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': 'log2'}",0.30726698262243285,0.26919431279620853,0.8460667000035755,1.7972766000020783,934.91796875,924.55078125,0.38095238095238093,0.35714285714285715,0.3686635944700461,0.6802030456852792,0.6650124069478908,0.6725219573400251,0.6682389937106918,0.6508422664624809,0.6594259115593484,0.52,0.5441860465116279,0.5318181818181819,0.40607734806629836,0.4608150470219436,0.43171806167400884
3,CountVectorizer,DecisionTree,"{'criterion': 'entropy', 'max_features': None}",0.38941548183254343,0.21153238546603476,2.105146399997466,1.7987227999983588,930.76171875,923.4296875,0.4570446735395189,0.3958333333333333,0.42424242424242425,0.841225626740947,0.749379652605459,0.7926509186351706,0.764026402640264,0.7090352220520674,0.7355043685464655,0.6559633027522935,0.6651162790697674,0.6605080831408776,0.46956521739130436,0.5078369905956113,0.4879518072289157
3,CountVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': 'sqrt'}",0.3175355450236967,0.25213270142180094,0.7785631000006106,1.7894423000034294,934.89453125,924.34375,0.3873015873015873,0.3630952380952381,0.37480798771121354,0.708029197080292,0.7220843672456576,0.714987714987715,0.7,0.7289433384379785,0.714178544636159,0.603448275862069,0.4883720930232558,0.5398457583547558,0.38323353293413176,0.4012539184952978,0.39203675344563554
3,CountVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': 'log2'}",0.30726698262243285,0.26919431279620853,0.850696000001335,1.7962752000021283,934.78515625,924.48046875,0.38095238095238093,0.35714285714285715,0.3686635944700461,0.6802030456852792,0.6650124069478908,0.6725219573400251,0.6682389937106918,0.6508422664624809,0.6594259115593484,0.52,0.5441860465116279,0.5318181818181819,0.40607734806629836,0.4608150470219436,0.43171806167400884
3,CountVectorizer,DecisionTree,"{'criterion': 'log_loss', 'max_features': None}",0.38941548183254343,0.21153238546603476,2.10456599999452,1.7841866000017035,930.6171875,923.35546875,0.4570446735395189,0.3958333333333333,0.42424242424242425,0.841225626740947,0.749379652605459,0.7926509186351706,0.764026402640264,0.7090352220520674,0.7355043685464655,0.6559633027522935,0.6651162790697674,0.6605080831408776,0.46956521739130436,0.5078369905956113,0.4879518072289157
3,CountVectorizer,GradientBoosting,"{'estimator__n_estimators': 100, 'estimator__criterion': 'friedman_mse'}",0.2914691943127962,0.19826224328593997,6.950707800002419,1.8069939999986673,928.2109375,923.4375,0.6774193548387096,0.1875,0.2937062937062937,0.9645669291338582,0.607940446650124,0.745814307458143,0.7992351816443595,0.6401225114854517,0.7108843537414966,0.8571428571428571,0.39069767441860465,0.536741214057508,0.7878787878787878,0.08150470219435736,0.14772727272727273
3,CountVectorizer,GradientBoosting,"{'estimator__n_estimators': 100, 'estimator__criterion': 'squared_error'}",0.2890995260663507,0.1985781990521327,6.895209099995554,1.7979878000041936,928.515625,923.2734375,0.6774193548387096,0.1875,0.2937062937062937,0.9642857142857143,0.6029776674937966,0.7419847328244275,0.8011363636363636,0.6477794793261868,0.7163420829805249,0.845360824742268,0.3813953488372093,0.5256410256410257,0.7575757575757576,0.07836990595611286,0.14204545454545456
3,CountVectorizer,GradientBoosting,"{'estimator__n_estimators': 150, 'estimator__criterion': 'friedman_mse'}",0.30726698262243285,0.19210110584518167,9.994699999995646,1.8166801999977906,928.18359375,922.84765625,0.6767676767676768,0.19940476190476192,0.3080459770114943,0.9595588235294118,0.6476426799007444,0.7733333333333333,0.791814946619217,0.6814701378254211,0.7325102880658436,0.8301886792452831,0.40930232558139534,0.5482866043613707,0.7872340425531915,0.11598746081504702,0.20218579234972678
3,CountVectorizer,GradientBoosting,"{'estimator__n_estimators': 150, 'estimator__criterion': 'squared_error'}",0.30963665086887837,0.1924170616113744,10.062578199998825,1.8142886999994516,927.97265625,923.29296875,0.6808510638297872,0.19047619047619047,0.29767441860465116,0.9595588235294118,0.6476426799007444,0.7733333333333333,0.7921847246891652,0.6830015313935681,0.7335526315789473,0.8148148148148148,0.40930232558139534,0.544891640866873,0.7755102040816326,0.11912225705329153,0.20652173913043478
3,CountVectorizer,GradientBoosting,"{'estimator__n_estimators': 200, 'estimator__criterion': 'friedman_mse'}",0.31437598736176936,0.18973143759873617,13.254038699997182,1.8161595999990823,928.1640625,923.62890625,0.6571428571428571,0.20535714285714285,0.3129251700680272,0.953405017921147,0.6600496277915633,0.7800586510263929,0.7943760984182777,0.6921898928024502,0.7397708674304418,0.8288288288288288,0.42790697674418604,0.5644171779141104,0.7719298245614035,0.13793103448275862,0.23404255319148937
