seed,vectorizer,model,params,accuracy,hamming_loss,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_bug,recall_class_bug,f1_class_bug,precision_class_docs,recall_class_docs,f1_class_docs,precision_class_feature,recall_class_feature,f1_class_feature,precision_class_question,recall_class_question,f1_class_question,precision_class_won't fix,recall_class_won't fix,f1_class_won't fix
5,TfidfVectorizer,GradientBoosting,"{'estimator__n_estimators': 100, 'estimator__criterion': 'friedman_mse'}",0.4385026737967914,0.19358288770053475,1.0763595000025816,2.050721400009934,49.6796875,48.26953125,0.45,0.2903225806451613,0.35294117647058826,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.0,0.0,0.0,0.7006369426751592,0.9090909090909091,0.7913669064748201,0.2222222222222222,0.0975609756097561,0.13559322033898305
5,TfidfVectorizer,GradientBoosting,"{'estimator__n_estimators': 100, 'estimator__criterion': 'squared_error'}",0.45989304812834225,0.1839572192513369,1.0602049000444822,1.8683620999800041,48.57421875,48.4765625,0.45,0.2903225806451613,0.35294117647058826,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.0,0.0,0.0,0.7070063694267515,0.9173553719008265,0.7985611510791367,0.26666666666666666,0.0975609756097561,0.14285714285714285
5,TfidfVectorizer,GradientBoosting,"{'estimator__n_estimators': 150, 'estimator__criterion': 'friedman_mse'}",0.43315508021390375,0.1946524064171123,1.3265616999706253,1.8870799000142142,48.90234375,48.53515625,0.4090909090909091,0.2903225806451613,0.33962264150943394,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.0,0.0,0.0,0.7039473684210527,0.8842975206611571,0.7838827838827839,0.25,0.12195121951219512,0.16393442622950818
5,TfidfVectorizer,GradientBoosting,"{'estimator__n_estimators': 150, 'estimator__criterion': 'squared_error'}",0.44385026737967914,0.1893048128342246,1.3313851000275463,1.8453147999825887,48.73828125,48.64453125,0.45,0.2903225806451613,0.35294117647058826,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.0,0.0,0.0,0.7032258064516129,0.9008264462809917,0.7898550724637681,0.3181818181818182,0.17073170731707318,0.2222222222222222
5,TfidfVectorizer,GradientBoosting,"{'estimator__n_estimators': 200, 'estimator__criterion': 'friedman_mse'}",0.44385026737967914,0.18716577540106952,1.623573699966073,1.866641599975992,48.9296875,48.90234375,0.47619047619047616,0.3225806451612903,0.38461538461538464,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.0,0.0,0.0,0.7181208053691275,0.8842975206611571,0.7925925925925926,0.30434782608695654,0.17073170731707318,0.21875
5,TfidfVectorizer,GradientBoosting,"{'estimator__n_estimators': 200, 'estimator__criterion': 'squared_error'}",0.4385026737967914,0.19358288770053475,1.6210299999802373,1.8726091000135057,49.0234375,48.890625,0.45,0.2903225806451613,0.35294117647058826,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.0,0.0,0.0,0.7019867549668874,0.8760330578512396,0.7794117647058824,0.2857142857142857,0.14634146341463414,0.1935483870967742
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 50, 'estimator__learning_rate': 0.01}",0.44385026737967914,0.17967914438502675,0.801789799996186,1.5395055999979377,49.87890625,49.546875,0.75,0.0967741935483871,0.17142857142857143,1.0,0.037037037037037035,0.07142857142857142,0.0,0.0,0.0,0.6741573033707865,0.9917355371900827,0.802675585284281,0.25,0.024390243902439025,0.044444444444444446
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 50, 'estimator__learning_rate': 0.1}",0.44385026737967914,0.19037433155080213,0.7950105000054464,1.6003766999929212,49.828125,49.7890625,0.625,0.16129032258064516,0.2564102564102564,0.36363636363636365,0.2962962962962963,0.32653061224489793,0.0,0.0,0.0,0.6802325581395349,0.9669421487603306,0.7986348122866894,0.2857142857142857,0.0975609756097561,0.14545454545454545
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 50, 'estimator__learning_rate': 1.0}",0.3689839572192513,0.21176470588235294,0.8189746999996714,1.0697035000193864,49.859375,49.87890625,0.29411764705882354,0.16129032258064516,0.20833333333333334,0.36363636363636365,0.2962962962962963,0.32653061224489793,0.125,0.1,0.1111111111111111,0.695364238410596,0.8677685950413223,0.7720588235294118,0.3181818181818182,0.17073170731707318,0.2222222222222222
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 100, 'estimator__learning_rate': 0.01}",0.45989304812834225,0.17647058823529413,1.1289584999904037,1.0992201999761164,50.07421875,50.05859375,0.75,0.0967741935483871,0.17142857142857143,1.0,0.037037037037037035,0.07142857142857142,0.0,0.0,0.0,0.6741573033707865,0.9917355371900827,0.802675585284281,0.0,0.0,0.0
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 100, 'estimator__learning_rate': 0.1}",0.40641711229946526,0.20641711229946524,1.1296567000099458,1.0873156000161543,50.19921875,50.0703125,0.3076923076923077,0.12903225806451613,0.18181818181818182,0.42105263157894735,0.2962962962962963,0.34782608695652173,0.2,0.1,0.13333333333333333,0.66875,0.8842975206611571,0.7615658362989324,0.3125,0.12195121951219512,0.17543859649122806
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 100, 'estimator__learning_rate': 1.0}",0.36363636363636365,0.22566844919786097,1.1394542999914847,1.0732057999703102,50.1328125,50.1328125,0.3181818181818182,0.22580645161290322,0.2641509433962264,0.4,0.2962962962962963,0.3404255319148936,0.1,0.1,0.1,0.6870748299319728,0.8347107438016529,0.753731343283582,0.2647058823529412,0.21951219512195122,0.24
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 150, 'estimator__learning_rate': 0.01}",0.47058823529411764,0.17219251336898395,1.431540599965956,1.136895099945832,50.36328125,50.3671875,0.75,0.0967741935483871,0.17142857142857143,1.0,0.18518518518518517,0.3125,0.0,0.0,0.0,0.6741573033707865,0.9917355371900827,0.802675585284281,0.0,0.0,0.0
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 150, 'estimator__learning_rate': 0.1}",0.40106951871657753,0.21390374331550802,1.4576021999819204,1.1801066000480205,50.62109375,50.6328125,0.3076923076923077,0.12903225806451613,0.18181818181818182,0.4,0.2962962962962963,0.3404255319148936,0.0,0.0,0.0,0.6774193548387096,0.8677685950413223,0.7608695652173914,0.20833333333333334,0.12195121951219512,0.15384615384615385
5,TfidfVectorizer,AdaBoost,"{'estimator__n_estimators': 150, 'estimator__learning_rate': 1.0}",0.3689839572192513,0.22459893048128343,1.4627434999565594,1.1749078000430018,50.765625,50.76953125,0.2222222222222222,0.12903225806451613,0.16326530612244897,0.391304347826087,0.3333333333333333,0.36,0.14285714285714285,0.1,0.11764705882352941,0.7153284671532847,0.8099173553719008,0.7596899224806202,0.2564102564102564,0.24390243902439024,0.25
5,TfidfVectorizer,SGD,"{'estimator__alpha': 0.0001, 'estimator__penalty': 'l2'}",0.3315508021390374,0.21283422459893048,1.8847357999766245,1.8890828000148758,51.58203125,51.62890625,0.25925925925925924,0.22580645161290322,0.2413793103448276,0.5294117647058824,0.3333333333333333,0.4090909090909091,0.3333333333333333,0.1,0.15384615384615385,0.7741935483870968,0.7933884297520661,0.7836734693877551,0.21428571428571427,0.21951219512195122,0.21686746987951808
5,TfidfVectorizer,SGD,"{'estimator__alpha': 0.0001, 'estimator__penalty': 'l1'}",0.3422459893048128,0.21176470588235294,1.8788022000226192,1.8839687000145204,51.6875,51.69140625,0.3448275862068966,0.3225806451612903,0.3333333333333333,0.625,0.37037037037037035,0.46511627906976744,0.0,0.0,0.0,0.7185185185185186,0.8016528925619835,0.7578125,0.23684210526315788,0.21951219512195122,0.22784810126582278
5,TfidfVectorizer,SGD,"{'estimator__alpha': 0.0001, 'estimator__penalty': 'elasticnet'}",0.3582887700534759,0.2160427807486631,1.9036418999894522,1.8818874000571668,55.734375,55.74609375,0.32,0.25806451612903225,0.2857142857142857,0.5333333333333333,0.2962962962962963,0.38095238095238093,0.25,0.1,0.14285714285714285,0.7164179104477612,0.7933884297520661,0.7529411764705882,0.2222222222222222,0.1951219512195122,0.2077922077922078
5,TfidfVectorizer,SGD,"{'estimator__alpha': 0.001, 'estimator__penalty': 'l2'}",0.37433155080213903,0.19572192513368983,1.916366100020241,1.9362128000357188,55.76171875,55.76171875,0.38461538461538464,0.3225806451612903,0.3508771929824561,0.6666666666666666,0.2962962962962963,0.41025641025641024,0.0,0.0,0.0,0.7557251908396947,0.8181818181818182,0.7857142857142857,0.15384615384615385,0.0975609756097561,0.11940298507462686
5,TfidfVectorizer,SGD,"{'estimator__alpha': 0.001, 'estimator__penalty': 'l1'}",0.40106951871657753,0.19358288770053475,1.9359993999823928,1.9392759000184014,55.8046875,56.35546875,0.34615384615384615,0.2903225806451613,0.3157894736842105,0.5833333333333334,0.25925925925925924,0.358974358974359,0.0,0.0,0.0,0.7410071942446043,0.8512396694214877,0.7923076923076923,0.1875,0.07317073170731707,0.10526315789473684
5,TfidfVectorizer,SGD,"{'estimator__alpha': 0.001, 'estimator__penalty': 'elasticnet'}",0.37967914438502676,0.19144385026737967,1.9793619999545626,1.8906690000439994,56.26953125,56.26953125,0.4090909090909091,0.2903225806451613,0.33962264150943394,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.0,0.0,0.0,0.7651515151515151,0.8347107438016529,0.7984189723320159,0.13043478260869565,0.07317073170731707,0.09375
5,TfidfVectorizer,SGD,"{'estimator__alpha': 0.01, 'estimator__penalty': 'l2'}",0.46524064171123,0.18609625668449198,1.9361149000469595,1.9270678000175394,56.2734375,56.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505376344086021,1.0,0.7882736156351792,0.0,0.0,0.0
5,TfidfVectorizer,SGD,"{'estimator__alpha': 0.01, 'estimator__penalty': 'l1'}",0.46524064171123,0.18716577540106952,1.930629099952057,1.8945323000079952,56.32421875,56.33203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,1.0,0.7857142857142857,0.0,0.0,0.0
