seed,vectorizer,model,params,accuracy,training_time,prediction_time,peak_memory_train,peak_memory_prediction,precision_class_democratic,recall_class_democratic,f1_class_democratic,precision_class_republican,recall_class_republican,f1_class_republican
3,TfidfVectorizer,AdaBoost,"{'n_estimators': 100, 'learning_rate': 0.01}",0.612,13.6387700997293,1.039321799762547,858.5546875,829.51171875,0.9628099173553719,0.233,0.3752012882447665,0.5637087599544938,0.991,0.7186366932559826
3,TfidfVectorizer,AdaBoost,"{'n_estimators': 100, 'learning_rate': 0.1}",0.725,13.664572299923748,1.049723300151527,858.44921875,829.57421875,0.9527162977867203,0.4735,0.6325985303941216,0.6497005988023952,0.9765,0.7802636835797043
3,TfidfVectorizer,AdaBoost,"{'n_estimators': 100, 'learning_rate': 1.0}",0.82025,13.638446400407702,1.0392076997086406,858.609375,829.5625,0.9685442574981712,0.662,0.7864567864567864,0.7432586403342195,0.9785,0.8448089790632419
3,TfidfVectorizer,AdaBoost,"{'n_estimators': 150, 'learning_rate': 0.01}",0.63375,20.05407930025831,1.0802302998490632,858.5078125,851.3046875,0.968476357267951,0.2765,0.4301828082458187,0.5780110819480898,0.991,0.7301528826671578
3,TfidfVectorizer,AdaBoost,"{'n_estimators': 150, 'learning_rate': 0.1}",0.755,20.06953029986471,1.0887429001741111,858.62109375,847.6328125,0.961121157323689,0.5315,0.6844816484224082,0.6762266758811334,0.9785,0.7997548017981202
3,TfidfVectorizer,AdaBoost,"{'n_estimators': 150, 'learning_rate': 1.0}",0.845,20.02851019985974,1.0927046998403966,858.51953125,851.375,0.9394904458598726,0.7375,0.8263305322128851,0.7839506172839507,0.9525,0.8600451467268623
3,TfidfVectorizer,SGD,"{'alpha': 0.0001, 'penalty': 'l2'}",0.9575,0.9301208998076618,1.4115496999584138,858.25,829.25390625,0.9635258358662614,0.951,0.9572219426270759,0.9516288252714709,0.964,0.9577744659711873
3,TfidfVectorizer,SGD,"{'alpha': 0.0001, 'penalty': 'l1'}",0.94525,0.9511778000742197,0.9594152001664042,858.484375,849.9765625,0.9380226266601082,0.9535,0.9456979915695513,0.9527198779867819,0.937,0.9447945550794051
3,TfidfVectorizer,SGD,"{'alpha': 0.0001, 'penalty': 'elasticnet'}",0.95725,0.9669031999073923,1.4256867999210954,858.30078125,829.32421875,0.9597787833081951,0.9545,0.957132113311607,0.9547488811536549,0.96,0.9573672400897532
3,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'l2'}",0.937,0.9392955997027457,0.9838957004249096,858.4765625,849.93359375,0.9500514933058702,0.9225,0.9360730593607306,0.9246841593780369,0.9515,0.9379004435682602
3,TfidfVectorizer,SGD,"{'alpha': 0.001, 'penalty': 'l1'}",0.79875,0.9723900998942554,0.9704668996855617,858.29296875,858.28515625,0.9585571757482733,0.6245,0.7562821677263094,0.721542454579162,0.973,0.8286140089418778
